total_pop,PLACEFP,white_pop,native_pop,pi_pop,black_pop,asian_pop,hispanic_pop,unknown_pop,poc_pop,white_pop_pct,native_pop_pct,pi_pop_pct,black_pop_pct,asian_pop_pct,hispanic_pop_pct,unknown_pop_pct,poc_pop_pct
344521.0,02000,78440.0,294.0,1043.0,7960.0,61937.0,183273.0,11574.0,266081.0,0.2276784288911271,,0.0030273916539194996,0.023104542248513153,0.17977713985504512,0.5319646697879085,0.03359446884224764,0.7723215711088729
771.0,02028,216.0,0.0,0.0,0.0,0.0,548.0,7.0,555.0,0.2801556420233463,,,,,,,
11255.0,02042,8392.0,314.0,0.0,0.0,332.0,1325.0,892.0,2863.0,0.7456241670368725,,,,,0.11772545535317637,,0.2543758329631275
3716.0,02112,3135.0,38.0,0.0,31.0,18.0,292.0,202.0,581.0,0.8436490850376749,,,,,,,
2931.0,02168,1450.0,0.0,7.0,104.0,385.0,663.0,322.0,1481.0,0.4947117024906175,,,,0.13135448652337087,0.2262026612077789,,0.5052882975093824
48301.0,02210,26429.0,153.0,472.0,5066.0,5974.0,6942.0,3265.0,21872.0,0.5471729363781288,,,0.10488395685389536,0.12368273948779529,0.14372373242790004,0.06759694416264674,0.4528270636218712
116477.0,02252,27308.0,579.0,1293.0,21188.0,16188.0,41441.0,8480.0,89169.0,0.23444971968714853,,,0.18190715763627155,0.13898022785614328,0.3557869794036591,0.07280407290709753,0.7655502803128514
1898.0,02294,989.0,0.0,0.0,0.0,160.0,749.0,0.0,909.0,0.5210748155953635,,,,,,,
75473.0,02364,32527.0,156.0,95.0,5540.0,2556.0,30340.0,4259.0,42946.0,0.4309753156758046,,,0.0734037337855922,0.03386641580432737,0.40199806553336953,0.05643077656910418,0.5690246843241954
6404.0,02378,4960.0,0.0,0.0,13.0,140.0,1011.0,280.0,1444.0,0.7745159275452842,,,,,,,
2127.0,02382,1668.0,0.0,0.0,0.0,151.0,278.0,30.0,459.0,0.7842031029619182,,,,,,,
3093.0,02420,620.0,0.0,0.0,0.0,20.0,2371.0,82.0,2473.0,0.2004526349822179,,,,,0.7665696734561914,,0.7995473650177821
55170.0,02462,9198.0,290.0,200.0,895.0,32387.0,9653.0,2547.0,45972.0,0.166721044045677,,,,0.5870400580025376,0.17496827986224397,0.046166394779771615,0.833278955954323
18607.0,02476,13128.0,151.0,23.0,554.0,204.0,2982.0,1565.0,5479.0,0.7055409254581609,,,,,0.1602622668888053,0.08410813134841726,0.2944590745418391
94994.0,02553,46411.0,369.0,357.0,7442.0,10227.0,20185.0,10003.0,48583.0,0.4885676990125692,,,0.07834179000778997,0.1076594311219656,0.21248710444870203,0.10530138745604986,0.5114323009874308
