PLACEFP,NAME,native_incidents,asian_incidents,black_incidents,hispanic_incidents,pi_incidents,unknown_incidents,white_incidents,total_incidents,poc_incidents,native_incidents_pct,asian_incidents_pct,black_incidents_pct,hispanic_incidents_pct,pi_incidents_pct,unknown_incidents_pct,white_incidents_pct,poc_incidents_pct,total_pop,white_pop,native_pop,pi_pop,black_pop,asian_pop,hispanic_pop,unknown_pop,poc_pop,white_pop_pct,native_pop_pct,pi_pop_pct,black_pop_pct,asian_pop_pct,hispanic_pop_pct,unknown_pop_pct,poc_pop_pct,native_likelihood_vs_white,asian_likelihood_vs_white,black_likelihood_vs_white,hispanic_likelihood_vs_white,pi_likelihood_vs_white,unknown_likelihood_vs_white,poc_likelihood_vs_white
02896,Artesia,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,15889.0,2089.0,0.0,621.0,827.0,6859.0,5261.0,232.0,13800.0,0.1314746050726918,,,,0.4316822959280005,0.331109572660331,,0.8685253949273082,,,,,,,
02924,Arvin,0,0,0,1,0,1,0,2,2,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0,19539.0,562.0,11.0,0.0,282.0,18.0,18486.0,180.0,18977.0,0.0287629868468191,,,,,0.9461077844311376,,0.9712370131531808,,,,,,,
02980,Ashland,0,0,3,1,0,0,0,4,4,0.0,0.0,75.0,25.0,0.0,0.0,0.0,100.0,22210.0,2464.0,113.0,247.0,4174.0,4637.0,9689.0,886.0,19746.0,0.1109410175596578,,,0.1879333633498424,0.2087798289058982,0.4362449347140927,0.039891940567312,0.8890589824403422,,,,,,,
03162,Atwater,0,0,0,2,0,0,2,4,2,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,32162.0,8408.0,6.0,294.0,975.0,2137.0,19232.0,1110.0,23754.0,0.2614265282009825,,,0.0303152789005658,0.0664448728312916,0.5979727628878801,0.0345127790560288,0.7385734717990174,,,,,,,
03209,August,0,0,0,1,0,1,0,2,2,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0,8825.0,968.0,19.0,0.0,45.0,33.0,7359.0,401.0,7857.0,0.1096883852691218,,,,,0.8338810198300284,,0.8903116147308782,,,,,,,
03302,Avenal,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,13608.0,1096.0,66.0,19.0,397.0,131.0,11784.0,115.0,12512.0,0.0805408583186361,,,0.0291740152851263,,0.8659611992945326,,0.919459141681364,,,,,,,
03386,Azusa,0,0,1,4,0,0,2,7,5,0.0,0.0,14.285714285714285,57.14285714285714,0.0,0.0,28.57142857142857,71.42857142857143,49031.0,6745.0,88.0,46.0,1242.0,7364.0,32067.0,1479.0,42286.0,0.1375660296547082,,,0.0253309130957965,0.1501906956823234,0.6540148069588627,0.0301645897493422,0.8624339703452918,0.0,0.0,2.715378421900161,0.42068169769545016,0.0,0.0,0.39877264342808494
03526,Bakersfield,0,2,4,25,0,3,6,40,34,0.0,5.0,10.0,62.5,0.0,7.5,15.0,85.0,411986.0,113582.0,1555.0,461.0,23536.0,32043.0,225254.0,15555.0,298404.0,0.2756938342565038,0.0037744001009743,0.0011189700620894,0.057128154840213,0.0777769147495303,0.5467515886462161,0.0377561373444728,0.7243061657434962,0.0,1.1815581146168168,3.2172558350328573,2.100998576421876,0.0,3.6509803921568627,2.156912552557383
03820,Banning,0,0,0,2,0,0,1,3,2,0.0,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333,66.66666666666666,31093.0,10347.0,215.0,9.0,2217.0,1591.0,15738.0,976.0,20746.0,0.3327758659505355,,,0.0713022223651625,0.0511690734248866,0.5061589425272569,,0.6672241340494645,,,,,,,
04030,Barstow,0,0,4,0,0,0,6,10,4,0.0,0.0,40.0,0.0,0.0,0.0,60.0,40.0,25100.0,5560.0,275.0,32.0,4111.0,725.0,12333.0,2064.0,19540.0,0.2215139442231075,,,0.1637848605577689,,0.4913545816733067,0.0822310756972111,0.7784860557768924,0.0,0.0,0.9016459904321739,0.0,0.0,0.0,0.1896963493688161
